message
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/ospfOriginateLsa(t):CID=0x8083053b-OID=1.3.6.1.2.1.14.16.2.12;An LSA is generated. (RouterId=172.31.0.5, LsdbAreaId=0.0.0.0, LsdbType=5, LsdbLsid=172.31.84.0, LsdbRouterId=172.31.0.5)""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0007_SED-CR_M14-01 %%01OSPF/6/ospfOriginateLsa(t):CID=0x808305aa-OID=1.3.6.1.2.1.14.16.2.12;An LSA is generated. (RouterId=0.184.4.86, LsdbAreaId=0.0.0.0, LsdbType=1, LsdbLsid=0.184.4.86, LsdbRouterId=0.184.4.86)""}"
"{""schema"":null,""payload"":""<189>Sep 25 2024 12:52:21 GPN-0295_TEM-TRA-LIC_AR12-01 %%01SNMP/5/SNMP_LOG_IP_UNLOCK(l)[9510]:The IP address of request message was unlocked because timeout. (SourceIPType=1, SourceIP=172.31.252.204)""}"
"{""schema"":null,""payload"":""<187>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x8083053b;Neighbor state left full or changed to Down. (ProcessId=2, NeighborRouterId=0.184.4.86, NeighborIp=172.17.0.254, NeighborAreaId=0.0.0.0, NeighborInterface=GigabitEthernet0/5/1.2, NeighborDownImmediate reason=Neighbor Down Due to 1-Wayhello Received, NeighborDownPrimeReason=1-Wayhello Received, CpuUsage=44%, VpnName=GPG.VPN, IfMTU=1500, LocalIp=172.17.0.2)""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/NBR_CHANGE(l):CID=0x8083053b;Neighbor changes event: neighbor status changed. (ProcessId=2, NbrIpAddr=172.17.0.254, Interface=GigabitEthernet0/5/1.2, NbrEvent=1-Way, NbrPreviousState=Full, NbrCurrentState=Init,CpuUsage=44, AreaId=0.0.0.0)""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/NBR_CHANGE(l):CID=0x8083053b;Neighbor changes event: neighbor status changed. (ProcessId=3, NbrIpAddr=172.17.2.3, Interface=GigabitEthernet0/5/1.3, NbrEvent=1-Way, NbrPreviousState=Full, NbrCurrentState=Init,CpuUsage=44, AreaId=0.0.0.0)""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/NBR_CHANGE(l):CID=0x8083053b;Neighbor changes event: neighbor status changed. (ProcessId=6, NbrIpAddr=172.17.1.3, Interface=GigabitEthernet0/5/1.6, NbrEvent=1-Way, NbrPreviousState=Full, NbrCurrentState=Init,CpuUsage=44, AreaId=0.0.0.0)""}"
"{""schema"":null,""payload"":""<188>Sep 25 2024 12:52:21 GPN-0295_TEM-TRA-LIC_AR12-01 SSMPADP/4/AUTHENTICAL_FAIL:OID 1.3.6.1.6.3.1.1.5.5 SNMP authentication fails.""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/NBR_CHANGE(l):CID=0x8083053b;Neighbor changes event: neighbor status changed. (ProcessId=7, NbrIpAddr=172.17.4.3, Interface=GigabitEthernet0/5/1.7, NbrEvent=1-Way, NbrPreviousState=Full, NbrCurrentState=Init,CpuUsage=44, AreaId=0.0.0.0)""}"
"{""schema"":null,""payload"":""<190>Sep 25 2024 12:52:21 GPN-0004_CHB-CR_M14-01 %%01OSPF/6/NBR_CHANGE(l):CID=0x8083053b;Neighbor changes event: neighbor status changed. (ProcessId=10, NbrIpAddr=172.17.10.254, Interface=GigabitEthernet0/5/1.10, NbrEvent=1-Way, NbrPreviousState=Full, NbrCurrentState=Init,CpuUsage=44, AreaId=0.0.0.0)""}"
